ED_COUNTER,ED_AF3, ED_F7, ED_F3, ED_FC5, ED_T7,ED_P7, ED_O1, ED_O2, ED_P8, ED_T8, ED_FC6, ED_F4,ED_F8, ED_AF4,mix1,mix2
-4.672,"4,466.6666","4,157.9486","4,300.5127","4,196.4102","4,558.4614","4,159.9999","4,131.2820","4,343.0768","4,696.9230","4,310.7691","4,604.1025","4,442.5640","4,638.9742","4,351.2819",115.385,
-4.664,"4,466.6666","4,157.4358","4,306.1537","4,195.8973","4,556.4101","4,134.3589","4,123.0768","4,344.6153","4,697.4358","4,316.9230","4,612.3076","4,447.1794","4,636.9230","4,357.9486",108.718,
-4.656,"4,454.8717","4,141.0255","4,301.5384","4,198.9743","4,551.7948","4,118.4614","4,109.7435","4,335.8973","4,704.6153","4,320.5127","4,628.7178","4,444.6153","4,643.0768","4,355.3845",99.487,
-4.648,"4,457.9486","4,136.9230","4,298.9743","4,200.5127","4,555.8973","4,135.3845","4,115.8973","4,330.7691","4,708.2050","4,313.3332","4,624.1025","4,441.0255","4,646.1537","4,352.3076",105.641,
-4.641,"4,470.2563","4,154.8717","4,304.6153","4,197.4358","4,560.5127","4,154.8717","4,129.7435","4,337.9486","4,708.7178","4,316.9230","4,613.3332","4,444.6153","4,645.6409","4,355.3845",114.872,
-4.633,"4,458.4614","4,152.8204","4,295.3845","4,196.4102","4,544.6153","4,149.2307","4,127.6922","4,337.9486","4,704.1024","4,322.0512","4,609.2307","4,434.3589","4,641.5383","4,350.2563",108.205,
-4.625,"4,453.3332","4,143.5896","4,291.7948","4,199.9999","4,549.7435","4,145.6409","4,126.6666","4,337.9486","4,705.1281","4,326.1537","4,612.8204","4,430.2563","4,642.5640","4,352.3076",101.026,
-4.617,"4,456.9230","4,141.0255","4,289.7435","4,204.6153","4,556.4101","4,152.3076","4,124.6153","4,330.7691","4,696.4101","4,312.3076","4,606.1537","4,428.2050","4,634.3589","4,351.2819",105.641,
-4.609,"4,471.2819","4,159.9999","4,295.8973","4,198.4614","4,558.9742","4,154.3589","4,124.1025","4,327.1794","4,687.1794","4,295.8973","4,610.2563","4,433.8460","4,635.8973","4,360.5127",110.769,
-4.602,"4,493.3332","4,180.5127","4,310.7691","4,191.2819","4,561.5383","4,132.3076","4,123.5896","4,330.7691","4,691.2819","4,298.9743","4,615.3845","4,443.5896","4,650.7691","4,381.5384",111.795,
-4.594,"4,493.8460","4,174.8717","4,306.1537","4,197.9486","4,538.9742","4,110.7691","4,112.3076","4,329.2307","4,690.2563","4,298.9743","4,604.6153","4,435.8973","4,648.7178","4,381.0255",112.821,
-4.586,"4,505.6409","4,187.1794","4,311.2819","4,201.0255","4,536.9230","4,140.5127","4,117.9486","4,337.9486","4,697.4358","4,307.1794","4,619.4871","4,444.1025","4,661.5383","4,394.8717",110.769,
-4.578,"4,518.9742","4,201.0255","4,319.4871","4,198.9743","4,554.3589","4,150.7691","4,122.0512","4,327.6922","4,693.8460","4,314.3589","4,630.2563","4,456.9230","4,678.9742","4,412.8204",106.154,
-4.570,"4,513.3332","4,195.8973","4,311.7948","4,199.9999","4,557.4358","4,112.8204","4,110.7691","4,305.1281","4,678.9742","4,311.2819","4,619.9999","4,449.7435","4,671.2819","4,408.7178",104.615,
-4.563,"4,516.4101","4,203.5896","4,308.7178","4,197.9486","4,553.8460","4,115.3845","4,114.3589","4,314.8717","4,685.6409","4,309.2307","4,629.2307","4,445.6409","4,665.1281","4,406.1537",110.256,
-4.555,"4,507.6922","4,197.9486","4,302.5640","4,196.4102","4,541.0255","4,136.4102","4,117.9486","4,321.5384","4,679.9999","4,294.8717","4,623.5896","4,436.4101","4,652.3076","4,393.8460",113.846,
